AQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,39650.5083836449,405608.061532438,760975.679975012,1031984.71880345,1166883.84380536,1370145.8329023,1346808.05398889,1138409.3866266,1432844.47394762,1124196.37796878,1346584.53531451,961495.927290407,1030547.50608393,869018.893122784,740395.297947465,774356.857179726,625579.803495337,448045.719411118,340523.767548738,520156.250488889,281083.372401511,415860.529495664,350050.370545798,167478.242988123,203910.567659584,301484.682684231,334341.543879133,128934.760360389,96113.7647546452,157198.441587116,136682.775120915,64469.864587424,157938.73458424,31122.0303936086,36809.7877269316,43074.2559177793,35935.8478467294,8703.02983971983,12555.9180670109,3968.95534577529
2,79137.674471202,338700.158870461,752938.073257011,931119.057630892,1129482.24578385,1341246.57551448,1368679.09550925,1301826.23901589,1621802.53524343,1138893.66615678,1205284.639524,1124137.37800767,884962.282572785,889660.516498479,950549.479011816,828710.757495954,676613.448025731,629446.909478938,553622.059862537,477295.448631569,296878.870828411,699847.530717482,184427.53588107,498684.295370619,192871.555793339,287109.425580484,209250.619167432,200225.296586232,143613.798387566,104422.405857325,89777.8989400766,49763.2602582595,31957.4003925395,60228.2462955837,40832.6992977489,46931.5015926574,80154.3590076317,28903.2124236261,34983.5567015276,21085.3457326527
3,22954.677527575,387650.697528999,646253.534884378,738614.868140187,1326412.39759823,1247733.75396513,1195405.37564948,1175740.71857235,1308993.95605243,1233903.10707155,1490040.67460909,1043797.03689861,1257822.15916649,848704.071168004,932054.642979098,708532.48746014,586272.306777771,739465.72514185,383542.732260177,570845.638638986,395679.562442945,452897.015142473,354451.679942685,251253.152335883,234568.99374944,214882.529009115,160972.12797602,108154.511932019,165878.773919245,119992.753055015,53696.8143297451,70031.475322397,82327.8964409512,40035.3869254961,71720.0627990211,63962.9963715022,32105.8337501685,92740.8306967413,7848.47207393729,15394.1440326111
4,27065.7441233736,305223.523496462,975561.200949236,1049859.62345954,1264231.16952329,1544719.2160892,1584548.79874175,1720470.5612288,1422685.79432952,1622449.3743442,1418419.39495692,1002461.60454232,1264710.49090375,1033755.96718804,874267.175700976,875928.938081304,880121.545818665,926419.617693303,570956.258963974,592625.653792606,369694.170021287,452847.185377933,231867.406612136,323810.6788393,372416.411173319,166479.060663405,86106.109073622,224661.134638205,43856.5516776114,150883.614022783,96841.6083143726,75697.0586825934,90200.2116311781,19824.932114975,39812.757207852,32069.9538302845,16441.3376974988,19739.3739438066,3967.66064790922,17921.6868285298
5,34326.1767605011,395134.584825448,885930.435675484,1009940.62677737,1117555.19798585,1235579.73045077,1085724.6573569,1520442.31814334,1076052.36922242,1446366.15006349,1333879.4126824,1178272.90443469,920741.206942736,919267.960592567,1100099.88343074,715011.810804231,670254.820304161,602849.694106517,570411.275100046,331483.910571474,621276.063265774,534938.671696803,369357.277963553,366528.649026009,384314.693477611,278963.135005887,141332.264214582,128678.22013817,176176.382047836,100498.136183942,119739.714933984,59920.3263383139,34113.6158801538,53829.383096383,49744.868539469,26017.4885785518,25769.6502640902,45749.2565845171,38237.9982857796,1727.70512633563
6,12012.51903125,304021.650142632,611984.301114656,995707.857813562,1203753.47922305,1559242.63910384,1480107.61976831,1471283.27995169,1349139.76237687,1206613.16819466,1423047.32754157,1216060.47315373,972401.604862742,921216.525244654,1146453.66969217,638784.805963152,469725.088984493,505528.289181136,467510.761118845,790667.26180661,657947.232253299,378244.22508564,486204.004124072,321752.178199302,247797.77608252,201927.398448333,132898.410762401,129634.103979715,88385.0770150319,43165.2126460141,85163.5030717497,54286.7915480851,109452.003763328,58718.9720560128,45117.2081705993,30053.3090451873,11198.5734096224,298783.033713273,10399.9908553004,17714.6108723481
7,96368.4512893399,258434.30879017,770164.775550167,910055.969107747,1121035.82950455,1079692.32942316,1581280.21324388,1271708.32311539,1356109.37017008,1397261.50572858,1380187.32758525,1197708.96624001,1143058.16598602,773127.126347179,1013579.75954968,688720.64701105,653554.663753166,710687.671607581,666232.495024514,442853.117301035,643150.278905519,494744.753029565,327255.053696713,295139.71601535,423707.166810621,141521.794365328,355333.388913107,84505.2792229548,34450.8079998511,78137.5416601072,107020.29816383,58232.5058199424,25555.4235172896,52315.7530977156,156702.273795881,92351.2277892658,62286.6157366333,20578.8441952692,24619.5595117653,24758.4608453406
8,64932.3584218457,313639.967603054,666188.447917778,995537.59226058,1467248.70108865,1078632.56382158,1255682.69430041,1503593.4431838,1345004.04623446,1369610.61033727,1212373.40707365,898737.487068167,1284424.27689081,809187.539367396,958352.141210245,866260.639493237,921368.126868399,817374.681387789,681585.529826234,400162.549581137,578794.37888004,637400.161860426,295449.199980131,361756.03255845,322470.132900176,140138.295330088,341435.216835953,179718.883982203,203182.828434355,172472.777637433,360455.52226134,84826.9754996922,79727.7147421211,45655.3448493374,62688.6572096056,46880.6187073103,27156.6469934877,19964.0564179712,61870.9412733773,5364.99646449599
9,54202.7073803574,453255.154844241,798614.24619479,1090629.78775876,1333188.68327536,1664611.72707903,1514837.41269442,1214191.01192425,1259217.99977088,1170961.43071489,1296226.85220896,1281434.71833871,1063544.81574813,857288.783417487,815129.23770476,867446.65195236,591168.26990664,535203.802555461,609330.116364697,671924.138137401,659818.247345837,422811.886543047,283379.454337964,166460.751251476,455394.674795688,227502.158441774,236928.424306046,142378.748633842,197982.432123367,106912.922776384,96526.7981821733,56182.6884102954,93981.0888847561,150246.036123198,92231.6202687638,66840.0498156519,39221.2880930625,62069.3595004614,27963.7768812,71944.9892055121
10,123306.769828659,380192.112208826,743585.574435998,973061.423648527,1271673.23286327,1061658.24399029,1303247.89838122,1255556.64951388,1344185.69631268,1261123.15226914,1360265.24720759,1287440.65558446,1015755.64114404,1026837.02375661,1146318.13686319,709550.138042379,587691.166987677,537183.134853224,635545.098148577,443957.841177964,441119.751249542,467463.788497376,319909.13953943,429654.523910739,337472.59397898,180432.486192213,177930.721386536,242437.847495331,62343.245473896,119394.529222481,64411.2236736514,151688.531595823,70934.0162227399,126453.008263454,49333.8467555688,17234.8675403528,70702.2732178838,44667.8412178527,20564.3346500785,10953.8229829137
