AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
1,1,57597.1371699113,36034.9034236513,50172.9746400504,72930.8236717466,123243.524558969,204130.599727722
1,2,389569.540972423,338273.291148519,383119.06959522,436804.067195994,533004.647431704,660182.102932606
1,3,743759.289113868,677148.660711898,739107.785499216,801379.515996707,916018.112446137,1047553.10006705
1,4,1004812.12472055,909669.830260005,992784.423752799,1093082.61562584,1218180.4924061,1417416.15233524
1,5,1160247.18836536,1066883.37063708,1149245.96338305,1251097.33464841,1398546.25737767,1574612.42801601
1,6,1244907.61168402,1134468.11231218,1234752.53966108,1348457.3263284,1518947.05038164,1710603.88600689
1,7,1283210.80261149,1178897.65367069,1283213.40353721,1374264.04224875,1523818.75739669,1728650.40550613
1,8,1297510.16585662,1206170.41254922,1296748.37877175,1380925.68505213,1530358.72252624,1675290.57379565
1,9,1272134.2501955,1167368.0516546,1260458.43943731,1365860.03445062,1518817.27969798,1666073.38533617
1,10,1222847.52866998,1122666.16629526,1216181.27527586,1315274.86212715,1492631.58513848,1632194.71120061
1,11,1182843.76175388,1085897.70932891,1171748.5636997,1274434.15422075,1426072.86321963,1707726.51974129
1,12,1109887.07828673,1000791.95582628,1092034.00207825,1217007.4942347,1390535.8490103,1621547.35881114
1,13,1045466.19524764,952819.107643032,1038436.71061593,1135788.32292578,1298697.09956183,1461710.01893397
1,14,958186.316812083,869018.893122784,952809.913571267,1047102.54161489,1195280.8370811,1366936.43006918
1,15,887519.452206491,795647.620239661,878225.229114948,973832.226742935,1098639.56930368,1291680.99623276
1,16,798905.394238203,710003.219382879,792109.531491277,873768.587827643,1023500.00320628,1141155.57072963
1,17,722591.441361803,627497.399260836,716712.927824768,799775.604518222,952001.883311189,1159159.16164955
1,18,636963.991403558,553860.724008675,631251.977050108,716095.137528724,825686.444287556,919966.974469914
1,19,582647.381904043,505105.920345567,574863.747108759,652380.373358419,788339.149539219,910188.741470143
1,20,508800.988386104,428708.889492548,498172.028879203,579492.01386906,701068.253852491,875391.775081041
1,21,455364.50911549,386816.389557682,446334.052543963,518305.208137263,632440.472944731,787136.642934341
1,22,385447.68295599,324536.773609339,376202.822488563,446400.057456341,549842.981295407,686675.277851747
1,23,345512.515637518,284236.475058297,332083.772707939,400885.645685143,505763.345046308,689024.872608076
1,24,299015.012106747,243385.823414642,290946.876006999,352595.28705687,429410.633000048,603028.386094348
1,25,256557.35288302,201503.708415756,250669.57838604,299165.797643973,398441.916529737,519353.369076792
1,26,217374.443177686,164390.596238271,211425.440837648,265592.192174994,345739.297736577,425297.827163577
1,27,187985.082770196,139558.17838417,176311.719315725,230032.616943222,321143.797377825,432064.707897821
1,28,159278.583746275,120449.999457955,154022.971393066,197114.59619055,260833.207700372,338771.110273208
1,29,132764.240666301,91456.434415403,125896.799036102,166297.247369082,234435.83421673,312139.902346715
1,30,111096.572355015,79105.5348223756,102244.56461091,139699.822155055,208907.90700566,293870.250514925
1,31,98158.9458781553,62918.3269853956,89849.7047233073,125745.581132436,191701.402762526,274597.742114478
1,32,80231.0672590414,45816.4212808129,70830.2404315305,105996.400340725,158306.629984659,271880.862498401
1,33,74112.0279740601,41093.9888410089,65757.5057427334,96886.5891877154,157543.438688918,282792.379218953
1,34,58678.5715270102,30676.7886501443,50357.662586401,77495.850859016,122600.051862633,210403.745768552
1,35,51275.080929467,26515.5240366689,43605.2169288597,65262.1217569729,125902.878225194,194586.960428877
1,36,43002.5109580611,20361.6548346007,33986.9719295253,57341.3336687456,100364.74337487,181513.527673706
1,37,38031.6247208388,16345.8411044506,27484.9275988526,50653.4540620373,105865.784130048,185549.371236313
1,38,32002.0933733982,11645.8789594927,23451.4897665931,44251.9971087968,89521.0463769383,163620.476148739
1,39,27424.1412240767,10095.8141571445,18914.144890825,35037.0946586238,83425.2349638523,138518.765530335
1,40,23883.5584853175,7000.30148912346,15056.8160946969,31142.6340576894,80247.954930954,196666.156153892
2,1,57331.1198263618,36362.1225834068,51225.5074020756,71938.1843011048,120032.426549317,193361.426801053
2,2,391999.875420479,338700.158870461,386598.693744361,438741.327906473,532220.169487417,612859.188194459
2,3,758054.810408125,685780.845207796,751453.784034471,832728.06486399,952686.680122791,1067993.09519425
2,4,1002748.97157634,914293.714311031,1004905.15342611,1074775.99427018,1214227.45041347,1367192.88337453
2,5,1161695.48497284,1076886.05227788,1153184.69327686,1245923.78014189,1400008.10337118,1578004.7266954
2,6,1254468.18855197,1153368.69093131,1249142.09341761,1345854.69103847,1495633.16406317,1703400.94505831
2,7,1299995.20218936,1198867.75602451,1293705.35933019,1400880.52529191,1538745.76456694,1706614.36035031
2,8,1300982.96873122,1186892.05846975,1295634.86416298,1406681.80655323,1571688.92677527,1775334.56499785
2,9,1283607.73251343,1188109.97558721,1279414.04300054,1374723.62159557,1559417.81084629,1755874.21538652
2,10,1240347.85792153,1141027.9797516,1235498.27546028,1339177.88467864,1525546.15830453,1742003.16687354
2,11,1187715.33118559,1087652.20179277,1182527.43521806,1281545.94534835,1430806.79797634,1648957.05436294
2,12,1116822.71063767,1022065.33688066,1115896.15644598,1211197.26161839,1347865.96042263,1521765.75993383
2,13,1041467.74861435,938045.561581128,1029851.01809318,1137040.7808178,1290746.37274171,1473310.13460635
2,14,964691.066782092,872067.193499222,958500.836872041,1040399.51179411,1226328.95132986,1340072.64400849
2,15,876064.391794854,780649.491027648,870565.264713359,972386.256631947,1091423.62255115,1296195.4869798
2,16,801030.279759858,717324.685329657,792193.371134552,878363.053404687,1028974.01752091,1194942.04286825
2,17,731097.227583197,637435.081838179,720039.803093539,820765.273649884,957496.832189358,1077172.89539297
2,18,650413.005268051,568559.230263672,640073.721995773,729229.008301157,848620.695107855,1016147.30348605
2,19,567957.869719888,496769.060310669,563577.17283824,629878.193819796,758919.166540656,902105.251139992
2,20,513205.526539277,441165.461782351,502255.836074749,575729.333556471,721356.777904695,881116.292273701
2,21,452150.74528778,375191.097037479,440693.171600078,511828.68665315,662847.795510742,803563.918517802
2,22,392848.062229794,322296.175263311,383558.304026561,456969.768312604,560283.380104324,719054.986071082
2,23,340986.132121645,282429.134186878,332860.807946229,396302.236676067,514444.240002564,619747.19465899
2,24,302207.589374545,242487.439023881,295086.641175729,354869.344267994,450252.591357115,556207.591404225
2,25,256181.277607033,203089.371106381,247197.026515792,307531.698118509,382081.152591436,496867.142025422
2,26,217757.805492679,167384.61547859,203509.128307693,260116.287997562,350900.810960193,443378.323999546
2,27,190761.930133535,143369.379858115,180037.620972258,231638.988837975,321563.926892453,449579.742231156
2,28,166710.521927649,124369.905471964,159464.535529453,203872.336260574,274125.260104414,347728.596921404
2,29,132865.033608014,94880.691425071,122704.279194264,161208.020559903,242116.74591481,331807.345239202
2,30,115441.42695088,76044.0511018373,107885.803708598,145316.567735317,221659.570027908,300874.280656201
2,31,101438.092004989,65349.0232387148,95344.3165921539,127591.013779517,189254.768017263,277653.081345632
2,32,91586.0807661462,55988.9499863556,81013.3905740412,116450.972032425,190334.579870642,306693.51313947
2,33,72416.3300318834,41357.0184285436,61695.182599911,93457.538745744,155951.996589267,267085.00967825
2,34,61810.2887872827,34462.7668629055,52822.5013547865,79211.0666088191,138204.190277118,239180.310318674
2,35,52404.2129688862,27494.1712658294,44720.696499788,70792.1429725231,119503.851122582,201976.114821017
2,36,41451.6959639767,19976.3751718239,33856.9896241696,54059.699411327,104636.477167421,152414.144905537
2,37,39241.2339892987,15914.8411336304,29425.3296139885,52128.8257738963,108994.677211254,180404.895925055
2,38,32286.6849014115,13024.7973679577,23013.0301793624,40199.7202268936,93964.6707463373,187264.853670554
2,39,26939.6016762621,9994.93045468674,19345.712207381,37139.3771373122,83831.7169498614,148970.853088658
2,40,21559.4001385695,6440.38137637708,13829.3003855277,27679.2547417507,77629.5092826143,150150.426028525
3,1,60416.4629257884,37624.4099405577,52146.9591875885,74633.9996462731,129125.467543408,185714.559215155
3,2,393030.104853508,336559.137004052,385993.68357169,435451.925454292,546786.737893714,661820.102956207
3,3,759247.142745563,681932.351199015,749016.908503617,829306.038077164,958622.3425583,1138938.81968467
3,4,1008707.10512758,935963.637221481,1006550.98154641,1086738.10376538,1223460.91592765,1351165.67528752
3,5,1178658.49464351,1084384.05588834,1175648.34434889,1260308.06921715,1393637.70795627,1629370.59282896
3,6,1267166.10521186,1172629.45542162,1256356.60911923,1358674.06647213,1512484.65552667,1663516.82934743
3,7,1301828.22716361,1210033.92170463,1296495.59079893,1397188.68001808,1549975.62493155,1719856.67157072
3,8,1319885.26484944,1217251.48352841,1315854.820771,1427303.10126592,1598072.67451859,1745724.32896003
3,9,1300730.9967812,1191046.84967304,1297333.91153141,1392868.21654671,1590606.8213438,1729710.02272873
3,10,1243960.20861163,1145023.51977194,1241844.65066056,1337675.68276151,1505634.52928464,1658130.5632827
3,11,1197607.54236565,1085110.63842488,1183949.72935981,1303125.17709001,1482289.36646074,1622837.44327632
3,12,1130491.88980596,1024698.38410564,1122519.93414773,1226576.27010802,1406334.8428397,1602272.74198997
3,13,1058722.66903792,962096.311239031,1049952.00634487,1149886.05865349,1313949.27444629,1452249.03834186
3,14,971567.50822827,873761.112097845,970202.782995658,1062329.97182373,1203390.9044371,1443063.14196612
3,15,891169.153577736,794208.817890899,885452.449240005,980935.718714203,1122777.18081336,1388371.88148381
3,16,810752.18557251,721458.248553261,807025.887064732,893971.953366934,1035393.62684767,1269748.21979465
3,17,744173.55363105,661619.273923524,736691.219024495,826064.565231582,978452.077879737,1124720.08616108
3,18,656619.128611743,577106.444142975,648322.220193742,736026.752388722,847039.402573742,1043097.89260288
3,19,585597.903405113,501080.155323326,573153.642323815,661433.141851715,809423.305670625,1034803.24967164
3,20,516683.692544814,444280.840628866,505871.224048766,583250.523529303,695096.367166184,833456.025325263
3,21,449195.712717252,381825.146536961,439923.732125299,514127.591546981,616944.423284179,749193.448148629
3,22,392847.763319777,326278.171036264,386935.766438822,451974.185034088,565457.599174142,718994.341089621
3,23,348564.108073096,285967.986501638,334792.627010328,394044.280442462,522316.41612189,723214.898486079
3,24,300906.878239326,239843.804873441,293235.704534432,355503.131173169,450611.220986312,617756.255453342
3,25,249766.281969157,195328.33854448,242580.219738641,293927.647400856,387946.334664495,485500.267543512
3,26,219614.539298434,168614.420711898,216115.455350128,261477.536917776,353718.712073424,483839.229529902
3,27,188127.132428778,141665.853644819,181869.781573059,226674.501474334,302814.702314669,474575.209181872
3,28,159380.403228589,117142.609377047,150107.407932717,194151.212648736,262662.177513434,382665.824993246
3,29,133969.998123385,96282.7691717226,127032.559184397,161154.905414138,233576.045520087,359005.577128544
3,30,117537.953628055,75876.0055176874,107933.225660055,150257.085720637,224698.290990412,312865.971397318
3,31,102042.498638421,65626.1604827323,95373.8064620294,130704.543691929,199213.408294639,275023.789235562
3,32,85613.461819052,51284.7369710309,78656.3990146405,110125.52448446,174195.567780499,251904.478170375
3,33,73373.5760799672,43480.8087938191,67228.8305936693,93500.4784157313,153700.581589715,235975.632822642
3,34,63447.316889517,34421.1664942928,52511.0121466331,86492.0099483428,146747.242165943,226537.227667415
3,35,53750.8704788039,27532.4380036538,44244.5275889554,72337.5724074782,117286.453514581,207551.950031624
3,36,45582.6615839526,22358.2786057262,36384.9433055769,60819.8980862121,109675.625817424,183137.902447286
3,37,40343.1754968148,17458.2793715955,29718.8980127507,54743.7972346328,112873.816674364,185790.766067234
3,38,32874.5480284595,13155.9721003411,23240.6777554661,42836.065287479,96990.2123285376,175535.726025498
3,39,25775.7104457538,10020.8310095863,18915.7708108276,34757.8103223198,70892.2915212174,170701.675362019
3,40,24631.6579940518,7347.56923794734,14911.6847338721,30395.0524542559,83868.2745322504,160281.724872248
4,1,57033.2873877606,35828.7096648528,49849.9079053203,72497.2974209651,115890.065902264,167963.120860651
4,2,400619.365448158,342648.635629825,395007.213314032,451133.485741893,536166.690726974,731754.179130055
4,3,764711.31647519,690413.778513477,757249.063157912,836255.65073485,951605.778817189,1080589.55264556
4,4,1022152.34310037,935216.360527876,1015414.50759334,1101603.0181314,1235380.73852519,1378537.77240781
4,5,1182094.31580046,1087475.42068782,1178033.3243991,1264231.16952329,1407951.91376223,1598500.91892114
4,6,1269028.33815527,1161446.71451812,1256101.75580299,1364615.39989419,1522515.22210035,1708610.28932427
4,7,1303099.86970228,1206235.24129773,1293957.9278565,1407485.69705175,1555536.02338313,1704524.45323578
4,8,1308604.19418571,1201945.8997162,1302589.50964921,1399957.40785233,1559802.81119861,1720470.5612288
