AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
1,1,43504179.0460769,41028689.6812506,43313770.0262928,45658320.3063158,50478210.4828527,54703291.5631661
2,1,43791023.1284513,41162440.004078,43702386.3147544,46316652.1528602,50175775.9712614,53785135.9817475
3,1,43540022.1385344,40979740.42573,43486260.3673943,45847823.7619287,49582967.0601212,53377018.6150633
4,1,44094007.3672714,41525009.4148239,43705320.8496697,46543935.435578,50395954.979642,56075495.4789312
5,1,44325584.1858312,41771190.7706225,44378534.1725382,46841724.0320731,50639918.9323058,56355501.4265771
6,1,44861948.8554003,42185775.6560874,44871933.1651383,47353870.0524212,50889532.1395406,54790553.3271805
7,1,44986055.8052685,42515225.4127541,44977824.1976032,47501138.9335022,51832092.804054,54545657.2707799
8,1,44939055.6192552,42314948.230126,44560946.7648562,47280613.9189962,51509989.5878022,56188141.1159479
9,1,45504908.1285696,42773593.5377421,45435038.0957307,48323921.2825143,52223258.8338315,56576436.1959415
10,1,45589292.4761186,42947202.2264552,45142478.5586758,48003486.5905282,52200839.3839313,56620681.4634189
11,1,45706459.9089812,42891043.6547612,45475168.1820427,48471204.2929185,52547274.09847,55950798.8151622
12,1,46317417.5081306,43469747.0429554,46277318.9383989,48809387.1682491,52951679.5135981,57880688.7398224
13,1,45912412.2352717,43301969.7856786,45932245.4434757,48452424.5286417,52094592.2699782,57718082.9545126
14,1,46411141.4845956,43877026.7339103,46311155.4935364,48824659.0335543,52685012.8523781,57671182.2058441
15,1,46416851.6585955,43825884.8792026,46318479.9661033,49153065.7149287,53145149.9583153,57389940.5850522
16,1,46834038.2764948,44203948.9547035,46587862.4619414,49530352.8499189,53335273.4312426,58263448.8382015
17,1,47192758.6725411,44408602.3956786,46917852.1427454,50039047.0801481,53585375.8606972,57688794.3662887
18,1,47241240.2227018,44528109.9166837,47213722.7914168,49827480.4772708,54163824.1101932,60880752.598988
19,1,47436954.4794779,44737685.9254328,47162812.8241511,50222737.8045778,54528836.1334011,60164937.650429
20,1,47804716.3449199,45119474.5246886,47703068.8294636,50245720.7055589,53762434.8207628,60318023.3359505
21,1,47938631.0840372,45273059.8885237,48273646.1453632,50766952.723968,54152165.4349629,58219756.9849804
22,1,48405076.5759074,45870265.330303,48256476.5290368,50906822.3150654,55008382.6639836,60359533.9404303
23,1,48333825.2401684,45822346.30511,48333276.8283127,50991138.6352068,55103735.3524236,62280379.7564968
24,1,48558789.0342912,45396447.4298039,48657405.9737707,51495796.9391521,56148558.199054,59248506.9613176
25,1,49276418.9591928,46332022.2444433,49416555.8339879,52167076.8187263,56184290.2875438,60849096.6528856
26,1,49201389.3241988,46133418.9460337,48963012.0021573,52098046.2134596,55969091.6808525,60163834.7724686
27,1,49616772.8435806,46909237.5479506,49785720.9965563,52121258.874779,56288901.9048386,61715548.8889067
28,1,49840686.0282431,46895772.7137047,49658627.7221409,52592892.2565665,57484921.7072848,60936662.7061267
29,1,50491415.367949,47374918.1972625,50449418.9991355,53215434.4122093,58263165.9693085,62924701.6938516
30,1,50317923.6703029,47480736.3409324,50061306.9784547,53149026.190281,56991278.9288018,60999710.3072348
31,1,50639036.7094926,47736978.3663822,50359406.2476907,53241414.4729406,58358928.7632247,62207480.9313936
32,1,50841094.2411019,47723123.2821134,50711451.1498447,53806460.8443023,58005520.3877751,63631535.88772
33,1,50872948.2301508,48241328.9338007,50743692.0924031,53490120.7123897,57702759.7623231,63816011.2205141
34,1,51407656.65829,48262210.5073129,51460307.3180021,54157666.5321784,58600364.7957383,62813818.9388582
35,1,51545227.4376444,48421251.0693707,51263998.4956249,54314121.0631127,58505151.495481,65869401.4862825
36,1,51795335.9420849,48907729.1464004,51615845.5991616,54529708.1854891,59525231.5496876,63644995.0688384
37,1,51951141.8258476,49065939.3618786,51901129.9711799,54684481.2778208,59414904.7467622,63479568.8597883
38,1,52401034.7733441,49430893.3714542,52367313.2250884,55107136.6026206,59766877.5997041,65323197.0122342
39,1,52489554.3827067,49543271.8473012,52516466.8963691,55436174.640341,60299635.2410624,66461192.3914923
40,1,52887425.9108686,49626275.9987702,52663723.9336012,56236966.3278328,61243773.0231475,66162291.9146536
1,2,103472405.411074,99443141.0848727,103338011.911465,107832432.743118,113826070.652092,117757200.326821
2,2,103697654.870975,100620305.100985,103335885.733345,107341553.201985,113143056.186749,120200821.986761
3,2,104553286.237447,101051747.309261,104186210.145733,108107467.41557,114238758.09643,124074542.306594
4,2,104651485.529058,100920191.691543,104685222.742058,108395551.916067,113593226.502831,119911760.133183
5,2,105712089.334368,101982644.014615,105567051.789145,109678436.571432,115452616.614777,120517541.736628
6,2,105998852.609533,101996589.485885,105875473.973398,109917653.933176,115916174.90081,122481221.467619
7,2,106494472.941411,103052229.09672,106414669.496905,110297320.553145,116442077.115544,125629747.821498
