AQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,84313.3795913243,424443.053602384,994874.231037348,1048449.72771179,1391447.99657155,1328593.62080212,1313974.31082234,1302862.28266366,1594396.87831097,1161567.0494681,1268546.54761464,1368467.39661062,1045193.18410379,1122941.54844138,1100286.63493621,785508.641164408,683248.911332188,542513.408903135,515869.63139897,619779.892756511,768265.227417554,437460.341059856,324912.810093932,302557.22107232,139833.32175764,196911.655202835,89179.6969253624,241521.05311978,187280.617445075,135768.071435651,207508.472719687,94745.906274375,77368.8714287492,46297.5088595641,145701.78139535,5439.07280065587,10983.4762682391,79334.8511962085,17183.9434569333,6644.56445781393
2,260935.500436714,821942.45245963,1163391.26221263,1248810.21050394,1375574.24891794,1447899.41472098,1659212.72793196,1573872.86956876,1507239.3424315,1757282.53464039,1458056.49134086,1181501.92086234,1110851.54092666,803866.091311505,1148685.57916842,997443.280863951,659840.694128401,443050.045305682,631061.602908145,520166.745727575,432219.814477245,461521.221802638,362738.825727377,278386.895725617,129253.684057878,298020.631084948,145802.892530078,238677.50768825,198768.979505668,251007.328612204,98707.8766095416,174374.95202907,172085.120556476,73565.4610657126,63584.3833154822,18950.4145965937,16158.5570166514,41109.4629099184,23562.506581719,10697.9756695009
3,229606.409860316,690226.24201729,1209052.68827028,1550387.78924122,1421727.40672293,1658817.22656493,1371104.49447668,1573988.90131123,1489314.51118348,1241662.17276424,1436040.20468583,1172474.943905,1033447.33215545,872225.904310225,1012595.11592046,793641.451535326,1021474.40300945,657015.335343612,650052.339436425,541997.649466962,560916.350127712,428403.727051016,221136.618192912,385981.486821415,220552.465066539,230494.483092723,197005.651669497,119629.612939948,132927.507081201,84123.8008916932,89260.5315789438,59520.3456084662,79056.0127362853,101382.352551506,75117.7026162437,23645.1234730745,24403.3926108958,65251.4639834282,8742.25980371099,141465.498764951
4,497168.020674883,1274049.06547583,1229179.64865325,1325523.64348464,1352724.19866015,1488459.23522971,1490796.77945015,1435623.02709132,1435786.60399205,1281061.42090117,1251876.16296252,1183396.72414773,904149.713075644,1253560.84593791,1031804.00830677,734104.629360068,792030.225552969,926659.33907454,621904.011949523,544410.872750638,650412.012841717,454965.559579676,391271.353557016,371773.284420661,167176.990003557,296253.663769792,207965.877660775,202377.74891142,316563.270423359,119953.794178556,116950.529907773,82053.7977513533,36677.0701490052,51352.1460291443,88940.3914353304,60877.6633647119,33862.0301256111,7473.89541356313,16358.211661311,20125.2270340907
5,341335.430052443,1130005.89221522,1119943.49200172,1393572.94841823,1253051.80596463,1712566.1284402,1517555.28294662,1473431.54495358,1292618.87170495,1523669.36712625,997808.285624998,1081330.15166412,1469747.68897577,1043890.57737278,991140.940837829,1003157.84498843,987464.664866144,591941.604528432,770198.357445563,697820.580885144,648155.906046419,397530.024304896,564017.524936645,194155.171496874,356911.941254095,234999.208280213,310467.850973566,96083.6920007596,141933.92986151,44095.6026850448,83419.2813226731,21196.8821839671,108016.534102182,74347.1165353638,28602.5330570817,58681.3605939186,25133.6890662945,162855.914328141,24285.3627647869,3448.85492461867
6,520422.114248411,964267.693247765,1472398.3729505,1692391.32979811,1767717.83205855,1518387.29935569,1700817.06691112,1667876.591021,1279150.07871463,1201301.10456595,1330266.02637626,1233314.88005445,979618.860058604,1440798.18627656,1209767.50935124,1011750.00157719,865780.522298132,752082.80526502,585398.605502535,680313.228378168,487642.717141313,455392.138116184,294896.495114377,478412.582565411,276485.063861345,403821.407354336,250017.57347746,194216.065944465,156207.012983401,58064.9356896338,111784.479094562,165261.101800955,79112.2053870392,15013.2217696007,63103.7942287459,38722.0625717183,11721.2974254051,25928.2036483101,5313.67662605121,19012.2140654397
7,451426.95587167,1174441.27063557,1258155.33641051,1765437.24242133,1665005.02074869,1582043.91010666,1482489.6247336,1263590.51067884,1392180.43851,1203056.85813517,1502584.83338466,990684.675412549,1356045.85879752,1083849.16854965,1095774.54228819,1073794.7375741,799754.816712842,559082.322670162,677762.610034323,742267.403890534,449100.559344368,591674.379645248,316116.435036472,203819.068225963,366120.415210613,324524.791050854,172382.094441917,299245.710630179,207468.799114456,150603.897915824,49584.9545050422,40560.0865622243,95502.8976614725,41064.2266564938,37112.4675726435,67629.6489432818,4985.40750762983,31894.2474630903,6021.08944323624,25318.2663610814
8,461252.155546833,1168342.1883155,1409280.27128085,1765408.14119442,1662320.66252715,1777068.60858609,1359400.52096517,1216283.57822568,1455249.01169597,1422958.36270994,1706637.79247053,1514209.09876236,1179470.35309541,1429426.87851653,1113678.78383375,714166.444252796,1085185.04599818,744815.008061856,725520.897148396,496746.648564121,497650.498654282,429062.97267524,394381.464704074,498613.045128666,227705.817622258,254856.555562108,75830.1548518135,166698.176343688,157318.501984425,114316.540478577,75296.0102672849,69489.592432137,42001.1562072639,39581.141558471,73149.9451239672,114492.308946268,0,37661.0830150386,18348.1764637219,43953.1180545146
9,419569.157472451,1340110.67747414,1486344.02999005,1851638.32835993,1588789.79205936,1797280.08346802,1780459.31134034,1439975.88259885,1543223.93045136,1476012.23187074,1317870.10530268,1248124.87344148,1281759.34428083,1401202.70684129,1113292.76839457,744897.697620747,651153.051321112,826202.518453008,923957.314308875,457809.12356985,626939.174301054,555920.748565394,450526.314780679,254057.838514784,277375.046831727,245592.010485824,116199.427199116,174749.849457454,68866.2000890398,160393.580288339,122264.620794885,94437.4784033364,108778.157718079,105812.920935484,82552.2266665658,15427.8025668241,44364.1754492985,43856.1246527379,44431.3630340138,15372.8414822585
10,532607.755459687,1661578.78404226,1890983.61341242,1581678.08150948,1264087.3542037,1622105.09370385,1620303.88777964,1703575.79800582,1500852.60078755,1567992.27955427,1408033.87298424,1444031.31231127,899777.551940543,1152582.02087907,856560.010923605,680914.460239711,621061.869017006,742399.809929914,617875.01319496,409049.942393314,347226.88068009,414879.251498615,391123.507371032,221087.432831789,205236.756822987,191081.374901068,245170.901201204,173509.081854583,78251.9319676379,49814.9177359275,70064.4878051645,32550.7530801241,69309.8878311962,47193.5806395595,56463.2732261503,27812.4989750851,24791.0758193145,13829.8975627457,3647.82405358372,5912.09856602872
