AQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,210257.186521914,736140.4542612,965272.121393541,1427847.56804798,1455599.43725552,1699730.8287297,1472100.14048768,1830769.31298333,1641416.71821318,1286295.58952409,1712705.22518809,1551064.92941719,1167777.36110818,1408007.43663168,1017898.90038643,1245316.55309741,799435.315547799,688873.855438311,730459.536009165,467546.434493064,355765.754073037,539901.940917429,385221.64651844,441273.555868372,297300.784034955,203601.714475968,481953.85909165,304506.895784832,178908.546075807,74700.9857678445,105824.026272918,49290.2267173588,35707.1161156847,29648.7769236355,59307.3466152083,15405.9570957544,96005.6080417757,57567.6013679469,4985.19220378577,3569.28522524503
2,163258.638228078,1013821.96124035,1236756.05672261,1478046.92419799,1472865.73203806,1589584.01750012,1465805.54785773,1490393.46427452,1423586.57050344,1614057.47734503,1376782.94949909,1092324.89766289,990927.864320433,998971.888258417,858421.143763403,776001.47837207,931979.779731951,961179.426961402,599052.986014624,656856.394084447,401837.397306132,741390.254200337,305307.366729265,406881.465920051,290003.509876127,291020.401126325,149373.115628227,170851.133158113,116314.659483449,131665.522991949,59468.1614716045,59018.1484252662,114620.382320605,60461.043846349,38838.5466584813,37730.2514794642,18697.5723013632,63396.8363726055,23762.9979119017,3064.68479329494
3,228689.084012053,1026527.77340195,1029539.05573937,1503879.4449934,1465400.92939102,1607692.13846826,1567752.93684062,1491080.38213704,1661916.4794559,1312868.62189218,1255422.41828989,1346668.44470259,1122108.05955277,1165873.29839015,1081701.9109381,916665.510151715,1170602.81174858,722239.73296596,823528.668600599,730714.272078448,614223.534758997,551093.644610144,328148.032282993,312887.376952558,309477.826037245,187129.89029298,159042.553246418,205767.204518415,131920.906786066,197873.792412857,245690.886153018,49584.2154986819,149295.37605396,34305.8578864131,76139.500178407,35040.6304313428,19297.2117779257,34426.5538438895,6285.76587480886,91301.1014549709
4,405415.697712895,722089.047177925,992261.373945347,1312384.58295536,1481815.52196615,1385303.87505236,1488796.52683309,1412090.95213034,1315578.48494723,1133408.28806025,1535495.49970528,1198121.66969347,1134195.37889398,1150595.06915837,998493.894115595,890499.140859001,782905.042071893,726193.240016535,479647.775744772,467220.262035764,496724.428206472,401432.279626524,384786.763360537,411005.719625149,336691.607938164,207105.83022209,175954.186171548,187793.774345835,125312.88127381,155716.630706164,173475.303395882,145124.436001552,83414.6660290801,147691.765111958,30689.1110706056,30216.969524766,8276.97954240864,131499.959967955,66995.8704755741,57526.4025635948
5,246954.95234279,984597.977179475,1530676.16842406,1426977.96867814,1645247.04166199,1623187.10191511,1476801.78729677,1573765.5443893,1306849.78444109,1186117.08663405,1467039.99449746,1329751.88725043,1403365.15064691,1237712.3830846,1005774.10574753,955411.040571162,1022086.43397905,772578.759209815,657265.079380661,555911.246777446,503453.966759707,353669.508457326,327605.42422832,276117.484911503,300849.714973714,248288.291264644,141049.917123222,253917.652508363,178987.014348436,160053.400991071,91300.6610295398,149159.145986956,40886.4774780929,41893.9101901165,38500.5217995945,25270.3445987324,14139.6078039217,10469.086551419,24603.7599379275,8380.86137489204
6,345776.058863149,1094810.55490429,1132702.54528862,1473155.99164895,1455037.87382945,1656507.4402859,1507486.20344265,1473542.48945706,1189825.08156993,1135604.88387645,1202016.16458659,1437891.83996468,1128204.99963417,970481.000058403,898377.490205658,797120.247405526,930184.526887301,458594.101663133,566020.818820599,787284.239186758,695763.210263539,312632.522719479,244530.408339193,257578.783364698,329930.393884243,208974.082297672,244282.197431394,132006.313863643,112595.977483585,234901.568583161,174580.882913388,147748.127957294,37793.0256323434,30251.3103883143,5086.41924613873,17492.3244410289,31345.1210844366,15469.1883990755,18617.409975377,4229.16426382398
7,451898.157463626,1366393.1483976,1331959.67902142,1475161.56435372,1578159.45734592,1320863.17251549,1736709.99125929,1597296.64849097,1417680.52456116,1659096.72181093,1068012.69695728,1200306.40064365,1183255.54536514,957135.882349309,1190282.693467,896418.735593238,775870.512178064,998112.618633204,668991.51952953,559214.014047351,238782.048161461,552309.953704824,347938.092502777,474609.900307834,267746.203022348,259489.079625817,311114.357394029,91650.7176304014,170937.804902093,253602.37692224,95949.8016591681,46775.2265842188,55478.0403230914,35421.23963768,5293.05440124694,26825.9746675325,8746.11877671523,0,39253.9364782482,5573.66231013679
8,449364.642925675,1114982.38918289,1523840.58904134,1940403.78948309,1903351.90851588,1901620.2531066,1383105.30975581,1419955.62549028,1169504.52725193,1268928.5746861,980944.451520848,1355287.5380795,1035492.84788843,1245198.00836126,901114.886821946,1134440.2922134,991198.228410835,773913.907836877,671024.139631283,680400.316698077,386786.766453197,431942.695615782,282158.360396303,336425.487700866,215617.384751715,296392.027448358,271653.655860002,184218.826737337,173703.79002346,67490.9058926504,260711.751564212,118213.874286508,114325.40174442,129599.26385618,71415.1385850011,34631.4108781451,5453.35107404522,108213.685735751,26117.9438167722,71926.199027908
9,502189.308460138,1300303.24808734,1457494.79900346,1542128.60952951,1750893.46635019,1446816.27726095,1636596.2374765,1374614.52104197,1781766.27055507,1484859.79230659,1423975.39708242,993170.714869362,1355645.84533952,963123.931821748,877709.909888136,792544.696539744,748679.24807435,599550.707068084,584657.88231251,572395.369561018,490387.406730735,310052.256394474,385832.863923497,357698.316817276,408706.097795631,235374.812890133,283764.011833898,191661.888838226,100801.408172204,52882.6753902502,82432.2152653267,20373.7863269888,78860.6761448976,41728.4691874961,37910.8921776102,80272.9548419957,26815.847175945,39947.0107179711,64348.4858392757,5893.21462207989
10,337740.378510101,1501976.60069899,1760794.43723332,1653628.39185584,2177493.71332548,2208295.04353166,1669873.1995895,1219979.65190116,1562459.61905177,1493766.84229144,1466528.40156629,1138137.23459557,1213787.36827083,1008597.75366676,1150665.41757892,1214645.68658191,803073.29046613,646036.859106472,702638.561542836,616983.861270844,538539.474919631,491965.38532261,518018.550699566,386004.982875329,278724.255943762,193596.33373961,300312.762012016,130259.153659474,126422.914098712,130222.050289938,139090.529189979,154403.673643971,179913.758057866,25641.8745218864,20084.6786048194,81519.5810248308,48527.3547999074,11298.4956063722,32448.7001977934,61139.7561993955
