AQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,168644.713554771,783415.228510472,1052730.28271045,1157732.09927199,1142215.31555729,1628812.2659425,1302624.65796715,1048851.48566216,1734571.33876387,1278890.85136111,1146467.71993887,1248154.23337097,1121616.82369533,883756.596081592,1039147.67335057,977989.733708299,653879.838837922,759626.017072616,530590.454276865,579591.682256567,374252.727487551,482062.927777861,420325.048128167,320516.462145718,344103.351118628,215466.249059771,206229.89122594,116902.943514578,118365.397555351,44733.6191109387,341531.528731876,64840.8920722727,61901.7990802351,33677.7700544555,139392.828027306,178248.104149282,28795.3489701783,100850.062770673,9887.43246075752,86469.0923925785
2,262452.77194889,577336.044613477,857108.798810176,1435005.04061934,1291623.33781642,1566928.12038057,1448420.94488112,1888175.26506613,1324113.00673058,1112964.52707882,1257891.25849544,1039596.94908774,1154587.40100372,1168720.64585131,941206.750049818,1028594.63250946,1049237.75250186,712675.6274486,676896.966748893,525396.106330929,681337.261916284,367870.729090846,385378.579819629,298950.304268846,307661.14576688,297349.726385436,241354.318105249,137963.80284204,129753.998758438,95128.1684984504,73548.152306099,124244.690690847,134220.475861352,54965.9565737314,61928.6573861348,34846.1655246985,16202.7173307263,21134.5823451384,10396.6323038352,27831.7015752182
3,169255.671461914,831821.392933664,993884.829339848,1385587.90667075,1150413.83184064,1493027.38933548,1379392.1478178,1323823.59696032,1726317.32651466,1386960.85036412,1431680.55640434,1008973.82050388,1243591.00563978,980970.421189515,1046652.68622355,779780.737316324,581541.559928946,495299.199921065,797232.179349428,639902.123244625,555955.187458848,398083.066363544,297631.993112753,394876.941581583,359334.345692628,212852.277352356,269178.577745756,175503.804787723,195031.75275656,85623.5175118513,44372.8550382522,109160.330408308,75514.7428784244,71690.611544644,146322.335089993,41596.2040312281,19320.0933537679,29515.5510430048,10833.1703099051,46818.538769041
4,286262.334293611,874483.353477115,1082648.62499733,1771091.93461705,1539263.51876623,1595064.97169988,1753749.76770054,1475022.0144797,1527049.41912342,1432737.67160603,1277934.035345,951889.537184568,1333044.7961998,1025450.37564888,1332038.02631912,888826.348994845,875280.566579048,600840.33863769,625317.338310745,500534.956467377,431805.397262778,468147.636453511,482961.151410551,376277.988833198,432463.575032607,268768.629919772,199517.270622722,259753.174036798,141384.237887652,91203.1086299451,43636.4605190915,42804.2693823402,89743.9575404397,24411.8747631928,25567.4669454443,45267.412274801,3097.99080878037,24661.564957648,16532.6500018026,62953.8866738325
5,257658.78089681,955778.15511899,1720832.28363502,1346702.04132547,1505077.051241,1314879.39769261,1477244.85904602,1520942.80108611,1566316.61355711,1548797.08664511,1276346.9205864,1269060.75745119,1008451.13059013,1312990.88375695,790512.294020182,640414.900173131,573123.447944544,535930.323510775,768752.844972229,716704.679874093,466809.177766347,319943.550342333,568386.738876351,276696.444527917,215064.508981443,506146.444791769,299133.888412749,222227.966081256,296904.005920568,274986.195267373,232310.774256276,90847.8497252009,34752.260378738,124643.379346896,26113.3250022454,32557.3029739528,11586.5853147349,12359.8745660029,14863.8451786685,10382.7635315867
6,346888.20600878,989774.706315601,1237989.30888328,1317709.67755311,1419791.03975538,1571768.63745082,1778058.46253213,1592772.96008499,1569782.9150127,1250410.12968287,1357443.58472082,1471560.14918081,1553443.98164627,893154.124795207,1051554.1172693,875877.550758778,893707.867313677,964832.138454427,654206.792185764,534361.315262125,423328.316833969,499190.3609678,295317.482441993,286092.332857248,292233.508612199,216661.860156014,100590.394920638,174282.792409013,172688.048320937,144024.505862762,86037.7065159759,53594.3752431297,196863.986172402,33507.4614989466,50980.2522161505,2972.64954527498,31838.5522129207,29448.8579584806,8058.68186115274,7378.4792395398
7,380334.055131217,1489094.33392405,1171496.43742741,1526672.21709539,1722758.31758599,1782767.83018868,1500802.01442809,1467653.82432923,1522403.86792217,1252691.90547047,1040670.44598462,1035196.22642087,958917.139037325,1224665.8551305,845714.867001451,806694.466301955,636561.64720419,742526.452914904,535839.254429633,435615.221854212,595763.196921275,583539.515585016,428928.564380806,214616.988051604,325232.95522637,288877.242358879,213911.438073388,215849.516823956,195420.444223211,197482.071878277,74094.2810707214,66100.0124130563,57793.7785861812,31019.3790333345,36431.2940235507,25305.8339365083,35410.9845879128,15643.5889354506,10992.6956558767,23280.951736274
8,459872.972356307,1325561.13311461,1167986.15149448,1520864.23113853,1527853.11910493,1566961.09294687,1625149.5983428,1264596.53081509,1545976.60068824,1573380.38531507,1035504.3278174,1404004.32130707,856638.251374769,912097.949722375,804016.459079355,817265.806298178,771732.111983347,712428.205969093,601356.682751456,552312.106685059,396694.951792366,287757.684204619,379919.63188922,316637.484239246,211017.324866599,234272.308317596,289010.537136471,132197.457180239,190308.98598205,105528.552743381,81597.8677577621,39745.1263090221,59550.2300520363,34649.9752644787,14242.0413349933,43254.9400917716,0,41750.3565128851,40410.4150056099,7495.79748118091
9,370160.92081789,994000.646503234,1348025.65347798,1472611.82493355,1624799.36383718,1375141.9063004,1331614.21785081,1420131.36082874,1225785.99655428,1482555.08449456,1240679.07157309,997029.950415163,865619.296151014,1050167.9050287,1087201.36409264,913492.883704791,703732.750740467,613340.098698613,582476.952513972,523116.749233197,393473.988546057,583965.458020451,371691.912379976,527212.404761986,270286.680596898,136323.72326948,153814.251744856,134446.586553566,203520.372497379,214956.581716371,46978.895414474,26426.3156714853,111889.499088795,16528.1797179532,147876.674849529,25650.0747219102,130474.580423821,7316.07965693417,17638.767123441,27516.9844693953
10,656872.864596225,1123319.90146649,1397426.54345062,1364706.70587198,1708311.4679515,1697401.42269619,1317509.75343973,1634577.06776854,1737917.68796948,1387862.77898557,1159055.64239594,1191459.24692788,950626.587771836,957523.275745996,782469.004913161,886925.718076691,625204.419485717,648762.347897146,730959.740816703,461307.944208295,398615.646691998,584277.130583798,397662.736783782,323050.319817357,55774.6597308543,294304.383305965,338632.436440893,267959.034329625,212049.810897639,70991.0569788372,147944.174511659,142660.429324227,93808.2451071569,77225.0749188412,36684.1743139826,34642.9450442365,10373.7012711694,85994.2820603607,88078.077705208,0
