AQ,DQ,RealMean,Real25,Real50,Real75,Real95,Real99.5
1,1,171570.966550069,133898.823028313,167462.811336675,207069.707172763,299302.012907521,355537.6396815
1,2,655407.107375428,581194.521081501,639379.945512475,725363.119484907,848029.139460924,1140163.98866011
1,3,996210.40537386,909222.330026514,985282.005109652,1076015.64666282,1212288.18118455,1445494.53218379
1,4,1214567.14749922,1101987.34956385,1193923.12633707,1308833.49091419,1517501.40729501,1700139.06778165
1,5,1352543.72188113,1246293.13551009,1342088.07947651,1450932.52665999,1608818.40712982,1944979.32510217
1,6,1446841.08552861,1333747.51849167,1444904.47791415,1539126.70546305,1736762.48708629,1933428.45237538
1,7,1465584.74674521,1353194.88428395,1464886.01482271,1575111.33468857,1735346.35028154,1871235.96212355
1,8,1448062.80983342,1320934.32454116,1440743.66665097,1577464.55275947,1751845.52746491,1893664.89810757
1,9,1423726.3695267,1321313.44412382,1417592.61688696,1511416.04153359,1691003.7773728,1943103.979709
1,10,1399083.49047211,1286222.24100002,1388388.13078666,1510738.62347741,1697385.39683509,1953597.69254814
1,11,1335976.18465473,1220908.00121706,1319247.75684284,1430887.3659561,1660291.16075174,1898134.73381856
1,12,1253310.11692279,1129550.55859074,1242309.4741281,1356690.58669097,1551064.92941719,1820840.25075578
1,13,1171583.5742807,1064394.9532194,1156799.22427817,1264291.81244771,1460227.96543966,1774337.99034215
1,14,1098535.63978016,981804.270375643,1086262.67752389,1195820.09887688,1385476.5557208,1561406.24799669
1,15,1006036.88762723,909550.54322644,1009886.25055109,1091993.1703804,1256324.01379458,1489629.25868852
1,16,915395.943964014,811879.469392687,897803.91703367,1003402.50978977,1211277.27158824,1369941.78886623
1,17,831259.191115562,737126.488472999,816307.428976575,917582.177657043,1107908.99707616,1327148.02867427
1,18,748987.954565021,655659.625364213,748011.36891967,835795.5006171,961048.124159101,1204953.2963454
1,19,674769.719345701,572791.583495025,662216.016656455,752641.122885079,911494.746215996,1195096.47830908
1,20,608204.353409688,519111.069591343,587416.223187638,695203.642206485,850432.073193218,1140202.21504694
1,21,544912.9154514,463532.262225715,534519.360422704,616485.449317536,762911.672999664,930930.569225899
1,22,472308.818283373,395782.471028498,468875.498718933,536754.519779463,652330.045016436,841234.858255329
1,23,411133.293751384,347340.45284904,400821.335744679,472975.315168401,579669.96136082,672722.819164974
1,24,360591.047752695,289958.644602421,351511.535213495,420092.749899424,546545.126156558,778822.065732812
1,25,304448.570717941,237662.763851541,307111.339187042,354585.690912174,470853.884627733,584079.134542636
1,26,259119.777620984,194136.289008372,256675.247027547,315527.763287813,408650.587734809,523904.715987679
1,27,224178.490558099,166697.148209498,213516.7173048,271173.727493308,359225.105152445,504329.925607145
1,28,202011.935224631,144174.337271062,193149.748074084,253049.712897482,326055.30379943,450253.052521326
1,29,169592.327565799,118693.792747243,169539.021203127,210603.446332821,296411.152342496,434981.373649126
1,30,141990.836992849,94549.4743389326,130132.120868159,170892.232072603,282331.356156932,377103.227467841
1,31,121528.168972188,76975.0073019214,109645.505879055,151524.360754406,247212.161765278,341531.528731876
1,32,101867.841254318,61143.2154548657,89411.3674886297,130246.888676947,221614.978244959,286169.404957023
1,33,87172.0387345682,50705.5315732271,79258.002448484,110821.711054961,193491.083890469,279158.008505958
1,34,78082.1300163999,38447.8333859186,65114.6671837721,103386.955718614,188086.321370935,306215.329986134
1,35,65076.1982243054,32226.4093968581,51620.4685439542,88124.1559341069,150238.806307586,331052.376813095
1,36,53239.0456255784,24808.0483870929,40453.771050709,72873.5964162809,130964.778754535,239778.057866364
1,37,44431.1259778365,20046.6309907985,35509.1027267848,60171.2783192547,110657.602195767,204137.898616176
1,38,39538.1396481164,16135.3763860904,30122.4376865984,52942.4959300324,103331.339038654,185580.789370925
1,39,32074.0316636214,11279.740573674,22726.458519486,43893.8031411486,95879.1659946503,209269.136101662
1,40,24290.3372547635,7955.04515574355,17633.2183954944,31974.2216253234,78206.4066474055,175339.704488752
2,1,207496.257521313,162260.135879377,205080.316529778,245195.601734382,307206.56463521,574180.605055762
2,2,760350.660076463,669894.269510071,752610.052679882,846900.112468483,997890.908407244,1322717.45275831
2,3,1064031.74021862,970026.950312324,1042780.31131731,1160334.79864131,1339908.46991085,1527692.03042976
2,4,1266615.43051905,1165397.59746797,1263706.76684601,1370501.15077617,1519142.30287023,1718777.76269147
2,5,1411577.16616855,1300356.73313707,1415961.98395192,1517339.82771761,1675384.4910751,1990276.47102068
2,6,1458461.98915937,1349836.22392666,1460550.09036374,1558392.42580184,1721586.64739519,1861597.54559649
2,7,1475308.06429245,1368943.40056327,1481751.57559607,1563972.86274488,1725090.48793254,1932273.34095747
