AQ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0,69397.9536805252,676815.23202755,253255.944664427,637185.269163578,1380804.58907568,762442.915662158,706479.493747885,648093.197311357,1220666.15156073,269078.884053639,701729.481936546,1497110.9511067,513698.966167499,3168446.66763003,684063.926140427,83568.6103014725,384698.463929777,35318.0689235136,1204985.60477712,536426.87182012,700972.445082472,414516.909019119,35365.7638764642,19568.650565577,195620.313755899,12916.145763757,33771.4328794245,49004.8071547637,567676.292271013,200168.514291418,468521.941786727,77945.4232618027,196829.403574128,53144.3654282648,20231.804012661,19200.0932536783,0,0,1307042.94779716
2,0,38373.0824491188,193271.713092226,600273.361094527,712711.450500947,461813.824354231,904383.055835062,717587.814259236,760836.205881426,2046817.08286343,676126.531635769,1685659.56575402,545398.694500309,1104230.8102476,693314.599340062,1190580.56656438,1411271.55963728,332185.143330637,310596.858381311,309044.523789752,226605.813002288,58740.2232712558,206368.463822951,654688.196258541,256983.924947167,61830.7729492436,22433.5348369994,22312.1567169464,0,7065.4619653454,638704.415149856,70235.5205039876,331564.957857939,23452.0969167794,60480.5314723394,389167.110261923,6848.37194359345,192490.668265901,262531.98696851,0
3,0,53719.250390436,165438.394142216,600278.580808142,762975.042300313,561928.597915265,906541.602988517,637249.063792644,650724.388440995,1098087.4182817,1271171.87445181,911214.628318193,1242359.46066906,835042.185339215,2760347.47216209,979327.949416847,706261.03684042,453206.469421238,612729.778292665,543335.433355969,325184.347995781,243672.298523516,237677.749610345,273478.95855106,51752.2505798571,993704.505216983,277487.031723804,71737.4768256515,274333.358433364,48427.1172817716,386723.206200798,0,0,2060447.68931745,542394.568030618,558435.680007994,313962.458938605,39659.4285633164,28058.8394385958,17189.4376786698
4,0,43728.4578782324,130639.080815661,252712.467767993,277250.423207368,670283.107023084,1147648.71358154,1047063.3433755,457863.53172208,519674.283660724,1013336.56581987,448435.748515111,1247842.43157331,500327.686317382,620166.209667925,952093.878506536,869441.632946191,283692.558444128,376720.108794591,828264.353226658,366556.44696452,369622.933947016,224499.663339227,606482.125181084,463954.803354072,72635.8841477187,1461106.43326829,1839207.77859123,961032.495409559,84775.5545403229,85134.9553118624,33335.9113163647,516366.204092344,242418.697306944,413170.185677767,0,55191.144859025,0,358645.71980641,18294.0530344788
5,15307.2636760596,85069.2297009288,283515.864756103,660429.480261924,521744.411902701,766110.140655854,1830676.52432074,876213.994025611,420815.771296793,725726.087704722,935045.454677001,2913129.94855371,923550.637536837,795149.749952323,520998.317786861,1638988.85137661,338971.696093132,793614.67397368,879001.204082779,2096819.65167778,1013171.10076375,915423.959453766,422691.112589201,471436.117184287,61748.9359014157,226678.232972313,218765.280591889,584421.751197806,0,62845.2988592019,789579.27766157,0,118886.384481757,0,248785.929799205,0,0,0,0,38074.2253717181
6,2779.37571890598,441500.825963074,136354.790656507,270323.113331852,275279.587779337,655080.304641818,331408.619801507,633396.551420732,488178.3138399,2341328.27537407,1025391.08128578,1200156.0052972,452520.515531772,580575.37337208,714974.269834378,1171669.00466929,623566.586021553,446817.751716867,421543.337528579,398908.127560449,181853.770648043,149496.970913578,259139.138159939,225039.918304139,755653.799667489,641375.135166742,903395.68101617,59090.2780364724,204831.765367108,62346.0938290985,0,23781.5209330413,212075.014548314,0,0,25096.259209579,0,0,0,0
7,0,103215.332446529,582468.479202601,656452.06012939,536318.68447083,975445.110654709,2628074.03594651,1223484.86472683,761153.954172715,1388318.92293627,1294071.81714444,1581043.41521442,826332.623965647,605266.273965837,1411379.62636526,702395.168640409,873681.414308983,873408.235402873,1718333.53582706,744450.21903955,788184.089527199,506958.936887496,203677.768161421,951546.552148567,1020908.29267407,183534.785672487,1272761.88321149,356200.194950799,328052.460983146,1201200.99725843,232757.584118344,628838.755631469,12842.0761394932,72449.6370697489,688623.729241583,0,103359.423350142,0,0,288086.25854173
8,8087.201349225,35533.1102093784,155636.347924576,191151.08540353,890035.628012642,741827.116280683,626829.460569118,572888.704000015,610937.211720635,1046974.83713107,1078787.7954703,342329.069658458,982499.256871152,614151.85221939,614416.866554723,802782.691445933,667103.445789147,761550.524394956,696151.335582995,894875.618588662,256064.079835741,76222.6223467851,362136.175460926,316488.843296471,14525.1873555535,186949.904379415,521568.997406259,632668.174025667,62551.4932047425,237721.954227076,779071.654113869,1885445.57203392,1468369.81064787,250732.454477582,403682.5348515,0,49537.9580921323,0,0,0
9,0,90468.567405839,202516.616397787,368220.264500934,784277.878310004,1214981.73460314,686064.544917438,968546.491526946,707935.948656831,723554.847786053,634253.393185527,767586.9437525,139498.566248589,498965.478300876,500391.799572563,362460.204973168,686650.62532329,238855.684997749,1005970.87847203,881955.971247499,1158254.24910665,1275226.3486787,1068436.94689137,1224175.81329263,593940.930355597,395939.805706805,651818.23371089,237949.79010239,84707.9984767145,0,32174.5490484046,326911.767046585,0,0,0,65996.8204919182,0,0,0,0
10,0,13650.3452435896,119655.930120118,312114.685175718,626167.691384864,637796.646599834,570766.59335251,1270213.61457486,1019774.8130505,1145928.68599705,1104248.87763725,556775.952848013,1895529.74968771,1569991.06666603,937675.267376128,133835.729556284,245089.085141242,786134.083822901,155720.921144999,76638.1686640456,122885.592884849,259475.170789444,0,409880.209240652,275843.636175408,82397.2604435239,7403.0113721786,625878.695429654,15658.7332636655,96892.793281854,0,1155002.49292282,563861.590319636,0,38769.4377743581,2668.10129386288,29531.8733957852,11524.1127805162,0,0
11,0,131847.971073902,346914.269072106,471194.447111187,731239.879697878,871165.486529503,1181355.08309532,425030.994581722,1241271.7089584,614365.539315164,1343907.35247876,1505973.33146313,528901.976707817,653578.276849942,347738.858987604,711489.708285869,922882.995990637,1781699.77967518,1496197.16926975,396730.92738594,205181.330094406,465682.49256027,531337.843879498,911771.054655016,6412.97007362155,38579.9987103051,6328.02508753084,26150.9517696811,7223.5875165753,0,5256.74563955681,498030.261522465,5487.99017956455,195114.026134088,64471.4026407227,0,21127.3941664217,0,0,7001.99089762195
12,7173.44069913697,80920.1160364249,872614.884726846,233844.264813,908399.377076902,1078898.46991191,1310293.96484875,883903.392196804,2024041.49109763,672327.66372739,465591.936317375,699843.294832251,1193638.16088894,415496.260216391,1514497.13476515,876229.801080711,1098398.37212379,1068475.92408037,829823.3869341,1004478.92149408,953482.725085561,749608.659926619,319496.633966391,528371.528639262,378790.222343027,35284.5294621583,17227.2590704651,184726.822127999,32503.5738870961,73800.0921314698,0,212076.941054882,1283472.41760943,0,710493.423381915,278490.168667577,24050.1927286054,37086.0842702632,36928.9671608237,1270690.89820726
13,0,94729.3639719813,806405.965798385,371502.42347469,585724.606053218,1332885.15653244,1239388.70024971,1362719.49999262,1358593.97076884,1551399.13559698,1173399.35306632,1472232.14672109,704410.524570829,876951.421431727,844041.762331006,487738.872618324,652338.738061319,1400943.60942476,124995.581235096,488079.539955317,246382.429225959,305871.581296281,44589.2988017726,45295.9705581472,510282.01708895,786349.198478392,532628.827682228,909086.288851905,214297.957260001,27589.8242460625,0,0,0,0,0,0,193570.249773713,0,0,30807.4930144743
14,0,43612.6465734437,269637.174693273,712815.017649585,718969.578057262,603000.324954953,1328576.66195155,1811827.77167232,558525.140524258,587051.411534057,873476.346117116,1305630.3490251,732752.517927825,1513823.04806574,1277455.00194601,340704.181375385,559701.08354949,1633430.3356784,1245578.58456271,567423.190197891,321991.21754897,66127.3333051556,45472.1395946906,220072.607739456,0,24710.2359343677,0,24425.6059656909,326615.484873037,50479.4982103827,0,30835.197921117,0,0,426564.037892421,450904.072564727,0,102402.488509731,0,0
15,0,48994.792292894,1131727.66675331,741649.505753264,353459.362658764,631236.758717012,1500781.29013204,1015365.18486187,765223.728693365,685919.042037886,2007937.7243252,743392.306739624,585528.224423454,1049290.4083995,1931230.07689088,789149.059264053,1508460.13590242,1766984.69568255,645965.040695812,320060.784170796,57965.8865608327,281713.525599936,257432.197758737,197152.651595569,53470.8976868409,1740867.59894853,0,208448.704983696,1101812.25382854,0,86706.5074983047,38330.8570055415,0,0,0,0,0,0,0,0
16,0,119442.519558396,238760.970270572,1055787.70767177,1998194.31916171,1009271.79484808,843739.868144307,990002.809078356,1063517.93993961,998111.387259713,1708851.89093808,1816110.69403331,836151.443522916,178423.477599952,1228405.03714904,900341.012029835,362985.857029378,1076570.07882365,2380716.89572033,137463.245348549,891094.625383939,1078972.67661754,46838.087158104,310720.670217026,75346.3450617446,677201.33949322,68335.98774435,0,1073873.51918662,0,49245.6849593808,114805.074210093,0,0,0,0,0,0,0,0
